ID,Response,Video,Model_Response
8469831.0,0.55,beg,0.30
8469831.0,1.0,ball,0.90
8469831.0,0.27,couple,0.80
8469831.0,0.3,sleep,0.95
8469831.0,0.55,meet,0.10
8469831.0,0.31,good,0.00
8469831.0,0.86,point,0.70
8469831.0,0.98,hospital,0.85
8469831.0,0.26,convinced,0.40
8469831.0,0.98,gentlemen,0.10
8469831.0,0.74,machine,0.90
8469831.0,0.99,bomb,0.05
8469831.0,0.91,risk,0.20
8469831.0,0.78,smoke,0.10
8469831.0,0.29,sunglasses,0.85
8469831.0,0.05,ready,0.05
8469831.0,0.59,please,0.30
8469831.0,0.32,planning,0.60
8469831.0,0.71,plan,0.80
8469831.0,0.67,see,0.70
8469831.0,0.81,clap,0.15
8469833.0,0.42,beg,0.30
8469833.0,0.99,ball,0.90
8469833.0,0.35000000000000003,sunglasses,0.85
8469833.0,0.61,convinced,0.40
8469833.0,0.03,good,0.00
8469833.0,0.46,smoke,0.10
8469833.0,0.9400000000000001,machine,0.90
8469833.0,0.0,please,0.30
8469833.0,0.99,risk,0.20
8469833.0,0.01,ready,0.05
8469833.0,0.99,bomb,0.05
8469833.0,0.13,point,0.70
8469833.0,0.5700000000000001,plan,0.80
8469833.0,0.23,gentlemen,0.10
8469833.0,0.08,sleep,0.95
8469833.0,0.8200000000000001,clap,0.15
8469833.0,0.88,hospital,0.85
8469833.0,0.0,meet,0.10
8469833.0,0.01,couple,0.80
8469833.0,0.12,planning,0.60
8469833.0,0.01,see,0.70
8469844.0,0.12,please,0.30
8469844.0,0.65,planning,0.60
8469844.0,0.72,couple,0.80
8469844.0,0.98,ball,0.90
8469844.0,0.98,smoke,0.10
8469844.0,0.7000000000000001,plan,0.80
8469844.0,0.97,bomb,0.05
8469844.0,0.33,convinced,0.40
8469844.0,0.02,ready,0.05
8469844.0,0.45,meet,0.10
8469844.0,0.85,point,0.70
8469844.0,0.16,beg,0.30
8469844.0,0.9500000000000001,hospital,0.85
8469844.0,0.93,gentlemen,0.10
8469844.0,0.92,machine,0.90
8469844.0,0.8200000000000001,see,0.70
8469844.0,0.8,sunglasses,0.85
8469844.0,0.98,clap,0.15
8469844.0,0.31,sleep,0.95
8469844.0,0.08,good,0.00
8469844.0,0.63,risk,0.20
8469868.0,0.96,smoke,0.10
8469868.0,0.71,beg,0.30
8469868.0,0.89,sunglasses,0.85
8469868.0,0.14,planning,0.60
8469868.0,0.61,risk,0.20
8469868.0,0.81,meet,0.10
8469868.0,0.62,convinced,0.40
8469868.0,0.0,couple,0.80
8469868.0,0.73,gentlemen,0.10
